date,open,high,low,close,volume
1987-12-30,76.75,77.25,76.75,77,525500
1987-12-31,76,76,75.75,75.75,94100
1988-01-04,75.87,78.5,75.87,78.25,450500
1988-01-05,79.12,79.12,77.62,77.62,268400
1988-01-06,77.5,78,77.5,78,91500
1988-01-07,78.37,80.37,78.37,79.5,323700
1988-01-08,78.5,78.5,76,76.12,513600
1988-01-11,76.5,77,76,76.75,338200
1988-01-12,75,75,74,74.5,117900
1988-01-13,74,74.62,73,74.62,836300
1988-01-14,73.75,74.25,73.5,73.75,108600
1988-01-15,74,74.5,74,74.25,379100
1988-01-18,75,75.5,73.75,73.75,187700
1988-01-19,73,73.37,72.75,73.25,118400
1988-01-20,73,73.25,71.75,71.75,427700
1988-01-21,72.87,73.25,72.75,73.25,173700
1988-01-22,73.5,73.62,73.25,73.62,11800
1988-01-25,73,73,72,72.62,1045800
1988-01-26,72.62,72.62,72.12,72.12,616500
1988-01-27,72.75,73.25,72.75,73,822900
1988-01-28,73.87,75,73.75,74.87,504300
1988-01-29,74.75,75.25,74.62,75.12,221800
1988-02-01,75.62,75.75,74.62,74.62,299400
1988-02-02,74.5,74.62,74.37,74.62,294300
1988-02-03,74.12,74.37,73.5,73.5,483600
1988-02-04,73.75,74.12,73.75,74,456700
1988-02-05,73.5,73.5,73,73.12,576700
1988-02-08,72.5,72.5,72.25,72.37,155600
1988-02-09,73,73,72.75,73,721000
1988-02-10,72.87,73.75,72.87,73.5,373400
1988-02-11,73.75,74,73.5,73.5,357400
1988-02-12,73.5,73.75,73.25,73.5,215600
1988-02-16,73.5,74,73.5,74,288100
1988-02-17,74,74.5,74,74.37,264300
1988-02-18,74.25,74.87,74.25,74.37,739100
1988-02-19,74,74.62,74,74.62,283400
1988-02-22,75,75.75,75,75.75,1117200
1988-02-23,75.5,75.62,75.25,75.25,309800
1988-02-24,75.25,75.25,75,75.25,350600
1988-02-25,75.12,75.12,74.5,74.62,412700
1988-02-26,73.75,73.75,72.75,72.75,410100
1988-02-29,72.75,73.5,72.5,73.5,309800
1988-03-01,73.37,73.75,73.37,73.5,101300
1988-03-02,73.12,73.12,72.62,73.12,173700
1988-03-03,72.87,73,72.37,72.37,85300
1988-03-04,72.37,72.37,71.62,71.87,748400
1988-03-07,72.5,74.37,72.5,74.37,991500
1988-03-08,75,75.75,75,75.25,595300
1988-03-09,76.87,76.87,75.87,75.87,836300
1988-03-10,77.5,78,77.25,77.25,1568700
1988-03-11,79.87,80.87,79,80.87,1214400
1988-03-14,80.87,80.87,80.5,80.87,850800
1988-03-15,81.12,82.12,81.12,81.62,560100
1988-03-16,80.75,81.25,80.5,81.25,583900
1988-03-17,81,81,80,80.37,374400
1988-03-18,77.37,78.5,77.37,77.87,608700
1988-03-21,78.5,78.75,78.37,78.5,223400
1988-03-22,77.87,77.87,77.37,77.5,414800
1988-03-23,78.25,79.12,77.87,79,730300
1988-03-24,77.5,77.87,76.87,77.25,397200
1988-03-25,76.5,76.62,76.12,76.25,194400
1988-03-28,76.25,77,76.25,77,173700
1988-03-29,77.5,77.75,77.25,77.75,220300
1988-03-30,77.87,77.87,77.12,77.12,339800
1988-03-31,77.25,77.75,77.12,77.62,212500
1988-04-04,77.5,77.5,77,77.25,82200
1988-04-05,76.87,77.25,76.75,77,134400
1988-04-06,77.5,78.25,77.12,78.12,380100
1988-04-07,78.25,78.5,78,78.37,349100
1988-04-08,78.75,80.37,78.75,80.12,1107400
1988-04-11,80.87,81.12,80.62,80.62,764400
1988-04-12,80.75,81.5,80.5,81.25,464400
1988-04-13,80.75,81.37,80.75,81.37,282400
1988-04-14,81,81,78.75,78.75,774300
1988-04-15,80,80.62,79.75,80.12,1085600
1988-04-18,81.5,81.75,81.37,81.75,436500
1988-04-19,81.75,81.75,81,81,1031300
1988-04-20,80.62,81,80.25,80.5,231200
1988-04-21,80.25,80.75,80,80.25,222900
1988-04-22,79.37,79.37,79,79.25,169600
1988-04-25,79.25,79.62,78.87,79.37,81700
1988-04-26,79.87,79.87,79.62,79.87,218700
1988-04-27,79.87,79.87,79.62,79.62,257000
1988-04-28,79.5,80.37,79.5,80.12,257000
1988-04-29,80.12,80.12,79.5,79.75,46000
1988-05-02,78.75,79,78.5,78.75,322700
1988-05-03,79.25,79.75,79.25,79.75,79600
1988-05-04,79.25,79.37,79.12,79.37,58900
1988-05-05,79,79.37,79,79.12,144800
1988-05-06,79,79.37,79,79.12,25800
1988-05-09,79.5,79.62,79.25,79.37,255000
1988-05-10,79.5,79.75,79.5,79.75,33100
1988-05-11,79,79,78.5,78.5,163400
1988-05-12,78.87,79,78.62,79,23200
1988-05-13,79.37,79.5,79.25,79.25,70300
1988-05-16,79.25,79.25,78.62,79.25,136500
1988-05-17,78.75,78.75,78.75,78.75,227500
1988-05-18,78,78,77.5,77.5,354300
1988-05-19,77.37,77.5,77.12,77.5,455100
1988-05-20,77.62,77.62,77.37,77.37,184600
1988-05-23,77.62,77.62,77,77,131800
1988-05-24,77.5,77.62,77.25,77.5,138100
1988-05-25,77.5,77.5,76.75,76.87,424100
1988-05-26,76.75,77,76.75,77,742700
1988-05-27,76.5,76.5,75.87,75.87,489800
1988-05-31,75.75,76.25,75.5,76.25,470100
1988-06-01,76.87,77.75,76.75,77.25,765500
1988-06-02,76.37,76.75,76.25,76.5,386800
1988-06-03,76.62,77,76.62,77,233700
1988-06-06,77.12,77.5,76.87,77.5,122000
1988-06-07,77.25,77.37,77,77.12,41800
1988-06-08,77.12,77.87,77.12,77.87,167500
1988-06-09,77.62,77.87,77.62,77.87,295800
1988-06-10,78,79,78,78.5,220300
1988-06-13,78.25,78.25,77.87,77.87,152500
1988-06-14,77.75,78,77.37,77.5,771200
1988-06-15,77.25,77.37,77,77.12,93600
1988-06-16,76.5,76.75,75.87,76.25,200100
1988-06-17,76.5,76.62,76.12,76.12,91500
1988-06-20,76,76.12,75.87,75.87,298900
1988-06-21,76.37,76.62,75.62,76.37,749400
1988-06-22,76,76.25,75.5,75.75,264300
1988-06-23,75.5,75.5,75,75,116800
1988-06-24,75,75,73.75,73.75,681200
1988-06-27,73.5,73.5,72.62,72.62,406500
1988-06-28,72.87,73.5,72.87,73.37,581800
1988-06-29,73.37,73.37,72.37,72.87,267900
1988-06-30,72,72,71.25,71.5,970800
1988-07-01,70.75,70.75,70.25,70.25,639800
1988-07-05,70.5,71.87,70.25,71.75,555000
1988-07-06,72.5,72.75,71.75,71.75,492400
1988-07-07,72,72.5,71.75,72.25,234800
1988-07-08,71.87,72.37,71.87,72.25,275100
1988-07-11,72.12,72.12,71.62,71.87,176300
1988-07-12,71.5,71.5,70.75,71,198600
1988-07-13,71,71.25,70.87,71.25,127200
1988-07-14,71,71.12,70.5,70.87,446800
1988-07-15,70.25,70.37,69.75,70.25,443700
1988-07-18,70.12,71.5,69.87,71.25,246700
1988-07-19,71.5,71.75,71.5,71.75,131300
1988-07-20,72.5,73.62,72.5,73.37,257500
1988-07-21,73.75,73.75,73.37,73.62,170100
1988-07-22,73,73,72.5,72.87,104400
1988-07-25,72.37,73,72.25,73,44400
1988-07-26,72.75,72.87,72.62,72.62,7700
1988-07-27,72.75,73.25,72.75,72.75,176800
1988-07-28,72.75,73.12,72.75,73.12,57400
1988-07-29,73.25,73.75,73.12,73.75,105000
1988-08-01,73.62,74.12,73.62,74.12,399800
1988-08-02,74,74,73.62,73.75,117900
1988-08-03,73.75,73.75,72.75,73.37,173700
1988-08-04,73.25,73.37,73,73.37,58900
